序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
3395,600615,丰华股份,11.72,0.09,0.01,71047.0,83130962.0,1.88,11.82,11.6,11.82,11.71,0.36,3.79,105.14,3.0,2203600354.0,2198959234.0,0.0,0.0,-0.76,5.3
3396,002583,海能达,11.11,0.09,0.01,626917.0,700819296.25,1.8,11.29,11.09,11.09,11.1,0.45,4.89,186.18,8.33,20204861323.0,14251030854.0,-0.09,0.0,-10.04,-21.82
3397,600750,江中药业,22.91,0.09,0.02,56933.0,130594401.0,1.22,23.06,22.78,22.82,22.89,0.87,0.91,12.64,3.47,14410793766.0,14368063271.0,0.0,-0.13,0.0,0.93
3398,300922,天秦装备,21.73,0.09,0.02,151009.0,333280395.18,5.44,22.88,21.7,22.1,21.71,1.36,13.12,92.17,3.71,3407507376.0,2500766932.0,0.09,-0.05,57.12,51.43
3399,300146,汤臣倍健,10.99,0.09,0.01,67871.0,74945887.48,1.55,11.11,10.94,10.99,10.98,0.87,0.6,10.28,1.71,18692291287.0,12418557778.0,0.0,-0.18,0.92,-5.99
3400,688576,西山科技,61.95,0.08,0.05,3000.0,18616456.0,1.2,62.44,61.7,61.7,61.9,0.54,1.34,62.75,1.67,2880847283.0,1384776651.0,-0.16,-0.13,1.21,-0.05
3401,300056,中创环保,11.86,0.08,0.01,86959.0,103658937.77,2.11,12.05,11.8,11.9,11.85,0.78,2.26,-99.51,24.98,4571916654.0,4568406687.0,0.08,0.0,-11.82,-10.69
3402,603661,恒林股份,26.39,0.08,0.02,5368.0,14180254.0,1.52,26.65,26.25,26.5,26.37,0.69,0.39,17.69,0.98,3669978948.0,3669978948.0,0.08,0.27,-11.92,-13.87
3403,600850,电科数字,24.09,0.08,0.02,78267.0,188693316.0,2.49,24.31,23.71,23.97,24.07,1.02,1.28,81.94,3.37,16528420928.0,14781467608.0,0.0,-0.04,6.31,0.79
3404,603668,天马科技,12.99,0.08,0.01,77215.0,100366320.0,3.31,13.22,12.79,13.0,12.98,1.26,1.54,94.29,2.89,6525341276.0,6525341276.0,0.0,0.23,18.2,1.96
3405,600685,中船防务,23.82,0.08,0.02,113580.0,270553405.0,1.05,23.99,23.74,23.8,23.8,1.29,1.38,45.63,1.97,33669721924.0,19566586011.0,0.04,0.0,1.93,0.51
3406,603170,宝立食品,12.77,0.08,0.01,34352.0,44470255.0,4.39,13.25,12.69,12.75,12.76,0.62,2.16,21.92,3.56,5108127700.0,2028003700.0,-0.16,0.0,-13.01,-16.1
3407,300897,山科智能,26.5,0.08,0.02,12148.0,32137108.44,1.81,26.78,26.3,26.78,26.48,0.67,1.93,70.86,2.68,2662895960.0,1667969095.0,0.15,-0.04,16.74,8.3
3408,600060,海信视像,23.82,0.08,0.02,127066.0,301107174.0,2.69,23.95,23.31,23.78,23.8,0.73,0.98,14.04,1.54,31084439090.0,30849148322.0,-0.25,-0.29,0.93,19.46
3409,601088,中国神华,38.3,0.08,0.03,222598.0,850773300.0,2.17,38.58,37.75,38.2,38.27,0.83,0.13,15.92,1.76,760964314277.0,631606753677.0,-0.13,-0.23,-4.25,-11.91
3410,605198,安德利,38.03,0.08,0.03,9675.0,36781526.0,1.97,38.35,37.6,38.0,38.0,0.58,0.39,37.69,4.75,12975836000.0,9527884080.0,-0.11,0.0,28.78,37.94
3411,300473,德尔股份,27.03,0.07,0.02,72087.0,194503945.0,1.78,27.21,26.73,27.06,27.01,1.0,4.8,44.87,2.55,4080802920.0,4055851176.0,0.0,0.0,19.55,8.51
3412,300836,佰奥智能,45.51,0.07,0.03,6045.0,27520258.5,2.7,46.08,44.85,45.59,45.48,0.42,1.42,77.71,5.38,2914116162.0,1943776654.0,0.04,0.07,-0.5,8.07
