序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,838810,春光智能,21.16,29.98,4.88,137108.0,263102140.79,31.7,21.16,16.0,16.49,16.28,4.01,30.76,121.62,6.28,1449460000.0,943245469.0,0.0,0.0,157.42,144.91
2,870199,倍益康,29.19,29.96,6.73,86980.0,235830839.18,27.25,29.19,23.07,23.07,22.46,5.88,23.38,-305.16,3.82,1988125062.0,1085911639.0,0.0,0.0,44.5,48.85
3,301387,光大同创,40.36,20.01,6.73,111781.0,429751951.6,18.32,40.36,34.2,34.2,33.63,5.05,26.36,60.49,2.62,4297976760.0,1711295965.0,0.0,0.0,33.47,17.67
4,688667,菱电电控,54.9,20.0,9.15,23643.0,125597991.0,16.07,54.9,47.55,47.55,45.75,7.54,4.56,40.69,1.73,2844486486.0,2844486486.0,0.0,0.0,35.25,36.6
5,301008,宏昌科技,27.54,20.0,4.59,123597.0,320378402.25,18.61,27.54,23.27,23.27,22.95,3.49,12.68,64.99,2.81,3100641078.0,2684236278.0,0.0,0.0,43.36,46.26
6,300005,探路者,10.15,19.98,1.69,1658766.0,1646570092.59,13.59,10.15,9.0,9.0,8.46,2.7,18.78,45.46,4.24,8969577188.0,8965640003.0,0.0,0.0,50.37,44.79
7,688280,精进电动-UW,6.98,19.93,1.16,570565.0,377325774.0,15.46,6.98,6.08,6.2,5.82,6.26,10.96,21.23,6.55,4119747236.0,3633398132.0,0.0,0.0,54.77,59.0
8,300366,创意信息,7.16,19.93,1.19,526760.0,366306853.16,19.77,7.16,5.98,6.03,5.97,2.87,9.93,-18.3,2.44,4350245234.0,3798397828.0,0.0,0.0,-20.09,-23.01
9,430510,丰光精密,23.11,17.91,3.51,89873.0,199226415.08,18.72,23.6,19.93,19.99,19.6,2.25,9.47,-449.38,10.7,4257183899.0,2193302573.0,-0.26,0.78,34.28,39.98
10,300879,大叶股份,28.4,17.07,4.14,542562.0,1424030282.49,23.12,29.11,23.5,24.26,24.26,2.74,26.99,7.4,4.11,5748126857.0,5709207923.0,0.71,0.96,80.2,81.12
11,300125,*ST聆达,6.8,16.44,0.96,182169.0,116000360.84,16.78,6.86,5.88,5.9,5.84,1.02,6.86,-16.9,-3.22,1819679966.0,1805005994.0,0.0,1.49,23.64,3.34
12,688580,伟思医疗,51.38,16.38,7.23,80252.0,390144439.0,16.38,51.88,44.65,44.65,44.15,2.15,8.38,37.03,2.96,4920728777.0,4920728777.0,0.75,1.94,90.16,84.09
13,873833,美心翼申,21.8,16.08,3.02,80577.0,165686143.63,17.09,21.96,18.75,18.79,18.78,2.33,25.4,42.08,2.9,1795448000.0,691655881.0,-0.37,-0.46,94.64,91.23
14,688205,德科立,59.7,15.41,7.97,126839.0,719187239.0,17.78,60.49,51.29,52.2,51.73,2.53,18.69,124.11,3.19,7217301653.0,4050931142.0,0.3,0.22,-40.76,-34.4
15,688588,凌志软件,14.25,14.46,1.8,307628.0,429305150.0,12.45,14.54,12.99,13.0,12.45,6.16,7.69,21.75,4.33,5700142543.0,5700142543.0,-0.21,-0.07,2.67,3.26
16,830896,旺成科技,20.25,14.02,2.49,60099.0,116991152.42,18.86,21.07,17.72,18.17,17.76,2.54,13.54,37.25,4.79,2049790860.0,899136653.0,0.5,1.5,22.73,43.62
17,688411,海博思创,74.31,13.61,8.9,51088.0,370982251.0,15.29,75.88,65.88,65.88,65.41,2.21,14.33,35.18,3.29,13207127298.0,2649108772.0,-0.07,-0.21,16.47,283.44
18,688590,新致软件,22.52,13.39,2.66,168511.0,373771367.0,14.95,22.97,20.0,20.0,19.86,3.24,6.41,94.11,4.21,5920335677.0,5920335677.0,-0.27,-0.97,21.66,40.49
19,301550,斯菱股份,118.9,13.24,13.9,66738.0,757058619.65,18.35,122.88,103.61,105.55,105.0,1.33,9.93,70.38,7.34,13079000000.0,7991447350.0,-0.02,0.0,38.3,63.35
20,688499,利元亨,27.06,12.89,3.09,127209.0,338221784.0,8.68,27.38,25.3,25.9,23.97,3.87,7.54,89.04,2.04,4565793481.0,4565793481.0,-0.11,-0.11,32.97,20.97
21,300946,恒而达,35.8,12.58,4.0,93922.0,330165391.31,18.49,37.77,31.89,31.9,31.8,2.87,16.62,53.65,3.58,4296214800.0,2023093800.0,-0.47,-0.42,31.04,31.81
22,838171,邦德股份,16.72,12.29,1.83,46330.0,75223197.14,11.55,17.2,15.48,15.48,14.89,2.83,8.0,18.82,3.88,2187360560.0,967836046.0,0.06,0.36,30.12,31.34
23,688018,乐鑫科技,218.0,12.16,23.64,64081.0,1367194267.0,8.23,218.99,203.0,203.0,194.36,2.68,5.71,65.26,10.88,24459693958.0,24459693958.0,0.0,0.41,-19.33,0.0
24,300972,万辰集团,164.75,12.07,17.75,61895.0,999789973.75,16.47,171.0,146.79,146.79,147.0,1.52,3.97,34.5,22.4,29653313125.0,25656212054.0,0.0,0.45,60.26,105.4
25,872953,国子软件,54.87,11.98,5.87,52021.0,275027600.31,11.82,54.89,49.1,49.9,49.0,2.02,19.08,167.82,9.09,5042821863.0,1495957408.0,0.02,1.88,74.19,87.27
26,300281,金明精机,6.79,11.31,0.69,573744.0,385428814.43,16.07,7.08,6.1,6.1,6.1,2.28,14.44,313.33,2.25,2844491108.0,2697842942.0,0.15,-0.15,23.23,21.47
27,300258,精锻科技,13.32,11.28,1.35,528231.0,673757544.04,16.54,13.82,11.84,11.96,11.97,1.89,10.6,42.55,1.7,6840067219.0,6638214541.0,0.0,0.08,43.69,49.49
28,430425,乐创技术,32.25,10.82,3.15,91094.0,289790569.18,20.45,34.95,29.0,30.55,29.1,2.09,21.54,45.6,6.44,1634074057.0,1364020619.0,-0.46,-0.15,79.77,76.04
29,301260,格力博,15.78,10.66,1.52,223217.0,343540562.91,13.53,16.22,14.29,14.29,14.26,5.2,10.52,10.88,1.64,7736810506.0,3349634329.0,0.13,-0.13,14.1,19.09
30,300911,亿田智能,50.25,10.61,4.82,144624.0,744120171.16,11.71,54.28,48.96,49.0,45.43,2.89,11.14,-40.96,5.31,6987030797.0,6523220684.0,0.54,0.72,74.54,92.68
31,920106,林泰新材,142.5,10.47,13.5,22955.0,319137995.77,8.52,142.99,132.0,132.01,129.0,1.14,18.96,37.03,11.48,5682543750.0,1725068663.0,0.2,0.35,156.85,137.5
32,832876,慧为智能,28.0,10.32,2.62,44067.0,119012408.92,11.03,28.0,25.2,25.2,25.38,2.24,11.4,208.38,7.14,1797058452.0,1082051992.0,0.07,0.43,42.78,71.67
33,688678,福立旺,21.49,10.15,1.98,174238.0,366445307.0,12.2,22.18,19.8,19.8,19.51,1.52,6.72,98.84,3.06,5571687286.0,5571687286.0,-0.05,0.05,44.23,44.71
34,600340,华夏幸福,2.39,10.14,0.22,2513033.0,585364907.0,11.06,2.39,2.15,2.15,2.17,2.69,6.45,-0.87,4.61,9353791617.0,9305118598.0,0.0,0.0,7.17,-11.15
35,000016,深康佳Ａ,5.45,10.1,0.5,622560.0,337072501.88,3.84,5.45,5.26,5.36,4.95,1.03,3.9,34.6,5.54,13123302474.0,8701436210.0,0.0,0.0,20.04,-1.27
36,603839,安正时尚,5.78,10.1,0.53,65527.0,37512779.0,5.9,5.78,5.47,5.5,5.25,0.46,1.64,25.03,1.22,2307446285.0,2307446285.0,0.0,0.0,5.09,4.71
37,600743,华远地产,1.86,10.06,0.17,552390.0,101474127.0,7.69,1.86,1.73,1.73,1.69,2.0,2.35,-77.83,6.66,4363747626.0,4363747626.0,0.0,0.0,-1.59,-12.26
38,600735,新华锦,5.69,10.06,0.52,353714.0,195645516.0,10.06,5.69,5.17,5.17,5.17,1.87,8.31,96.82,2.01,2439748066.0,2420820896.0,0.0,0.0,28.73,24.78
39,000565,渝三峡Ａ,7.55,10.06,0.69,1243991.0,921283380.37,12.68,7.55,6.68,7.55,6.86,6.76,28.69,155.89,2.63,3273621261.0,3273621261.0,0.0,0.0,42.18,39.56
40,603123,翠微股份,8.43,10.05,0.77,223171.0,186245612.0,7.44,8.43,7.86,7.89,7.66,0.48,3.42,-20.55,3.27,6733350086.0,5498686250.0,0.0,0.0,10.92,4.72
41,600774,汉商集团,8.98,10.05,0.82,78212.0,70234160.0,0.0,8.98,8.98,8.98,8.16,1.05,2.65,239.86,1.59,2649390970.0,2647682336.0,0.0,0.0,27.38,19.89
42,002164,宁波东力,8.99,10.04,0.82,1052233.0,898303520.76,9.3,8.99,8.23,8.28,8.17,1.77,21.93,75.47,3.44,4784241464.0,4313179210.0,0.0,0.0,61.11,79.44
43,000665,湖北广电,4.93,10.04,0.45,652780.0,309381144.91,9.6,4.93,4.5,4.53,4.48,2.13,5.74,-12.64,1.31,5606147010.0,5605953927.0,0.0,0.0,26.41,7.17
44,603863,松炀资源,13.04,10.04,1.19,107836.0,135629495.0,10.04,13.04,11.85,11.85,11.85,2.24,5.27,-37.04,5.93,2668636000.0,2668636000.0,0.0,0.0,-23.29,-35.16
45,603616,韩建河山,3.51,10.03,0.32,220719.0,75965418.0,5.33,3.51,3.34,3.35,3.19,2.39,5.79,89.06,5.79,1373526180.0,1338601680.0,0.0,0.0,1.74,0.0
46,002664,信质集团,17.23,10.03,1.57,247395.0,408488427.99,11.05,17.23,15.5,15.82,15.66,2.31,6.15,308.05,2.06,7033286000.0,6936385996.0,0.0,0.0,21.0,22.55
47,603586,金麒麟,16.9,10.03,1.54,200987.0,326101803.0,9.57,16.9,15.43,15.46,15.36,3.62,10.25,11.03,1.42,3313291982.0,3313291982.0,0.0,0.0,16.96,16.79
48,002730,电光科技,15.8,10.03,1.44,66890.0,105685884.0,0.0,15.8,15.8,15.8,14.36,0.76,1.93,69.31,3.51,5720862104.0,5467272104.0,0.0,0.0,-31.45,15.67
49,603922,金鸿顺,19.21,10.02,1.75,50273.0,93842796.0,6.76,19.21,18.03,18.45,17.46,0.59,2.81,241.18,3.36,3442432000.0,3442432000.0,0.0,0.0,-17.69,-22.98
50,002286,保龄宝,9.22,10.02,0.84,376717.0,341297392.93,5.85,9.22,8.73,8.75,8.38,1.7,10.19,16.93,1.63,3409255244.0,3407783732.0,0.0,0.0,19.12,24.93
51,002491,通鼎互联,4.61,10.02,0.42,217762.0,100338343.45,0.72,4.61,4.58,4.58,4.19,1.64,1.85,10.77,2.12,5670274645.0,5423521495.0,0.0,0.0,1.1,-10.31
52,002436,兴森科技,12.52,10.02,1.14,1170914.0,1412869489.94,10.19,12.52,11.36,11.42,11.38,2.09,7.8,564.26,4.24,21153788019.0,18785300655.0,0.0,0.0,16.68,12.69
53,002355,兴民智通,6.26,10.02,0.57,110688.0,69290700.52,0.0,6.26,6.26,6.26,5.69,0.83,1.79,7.18,2.81,3884770704.0,3869723229.0,0.0,0.0,-4.86,-1.73
54,002272,川润股份,9.77,10.02,0.89,616644.0,588047221.46,10.02,9.77,8.88,8.99,8.88,1.87,15.95,-42.32,3.19,4737251221.0,3778091710.0,0.0,0.0,24.3,-0.81
55,605069,正和生态,9.67,10.01,0.88,163053.0,156263007.0,6.48,9.67,9.1,9.1,8.79,1.25,19.37,12.18,2.24,2047117513.0,813839558.0,0.0,0.0,14.03,26.74
56,001256,炜冈科技,22.96,10.01,2.09,66030.0,143227218.56,10.92,22.96,20.68,21.1,20.87,1.2,17.16,31.3,2.79,3274384332.0,883369469.0,0.0,0.0,38.81,44.4
57,600463,空港股份,9.34,10.01,0.85,65680.0,59827972.0,8.01,9.34,8.66,8.75,8.49,2.09,2.19,186.58,2.84,2802000000.0,2802000000.0,0.0,0.0,1.41,-5.94
58,600986,浙文互联,8.02,10.01,0.73,1125285.0,890940263.0,4.94,8.02,7.66,7.66,7.29,1.95,7.57,27.11,2.29,11928739977.0,11928739977.0,0.0,0.0,22.26,34.11
59,603955,大千生态,24.94,10.01,2.27,251594.0,614943069.0,9.88,24.94,22.7,23.1,22.67,1.75,18.54,344.2,2.16,3384856800.0,3384856800.0,0.0,0.0,36.58,37.79
60,605255,天普股份,16.93,10.01,1.54,40986.0,66696630.0,10.79,16.93,15.27,15.39,15.39,1.94,3.06,65.04,2.75,2269974400.0,2269974400.0,0.0,0.0,29.63,34.47
61,603489,八方股份,26.82,10.01,2.44,66110.0,170858024.0,9.97,26.82,24.39,24.39,24.38,2.41,2.81,72.13,2.36,6303048740.0,6303048740.0,0.0,0.0,17.32,12.59
62,603507,振江股份,26.49,10.01,2.41,420813.0,1093913590.0,8.26,26.49,24.5,24.5,24.08,2.43,22.83,169.65,1.96,4882141622.0,4882141622.0,0.0,0.0,10.24,10.19
63,002667,威领股份,13.41,10.01,1.22,265159.0,344088470.18,7.88,13.41,12.45,12.75,12.19,1.09,11.25,-32.51,9.54,3250195110.0,3160281060.0,0.0,0.0,40.86,26.51
64,601595,上海电影,32.76,10.01,2.98,139462.0,441832073.0,10.14,32.76,29.74,29.8,29.78,1.92,3.11,56.24,8.62,14683032000.0,14683032000.0,0.0,0.0,25.52,32.63
65,600592,龙溪股份,22.44,10.0,2.04,671115.0,1403489862.0,14.95,22.44,19.39,20.0,20.4,1.55,16.8,75.16,3.6,8965982133.0,8965982133.0,0.0,0.0,115.77,128.51
66,002901,大博医疗,36.96,10.0,3.36,49970.0,180402158.54,10.83,36.96,33.32,33.32,33.6,2.01,1.73,37.1,4.79,15302160942.0,10663432090.0,0.0,0.0,5.24,19.84
67,002034,旺能环境,17.82,10.0,1.62,73880.0,127747593.86,8.02,17.82,16.52,16.98,16.2,2.75,1.71,9.64,1.15,7733594631.0,7695214128.0,0.0,0.0,20.32,14.97
68,002471,中超控股,2.97,10.0,0.27,425890.0,125653756.35,5.56,2.97,2.82,2.83,2.7,0.68,3.26,-50.23,2.35,4065930000.0,3875840386.0,0.0,0.0,20.24,8.79
69,600793,宜宾纸业,24.85,10.0,2.26,244327.0,575365562.0,14.79,24.85,21.51,23.0,22.59,1.61,13.81,68.57,18.48,4396064450.0,4396064450.0,0.0,0.0,18.9,6.97
70,600889,南京化纤,18.26,10.0,1.66,470287.0,836850750.0,10.36,18.26,16.54,16.54,16.6,3.35,12.84,-31.41,18.05,6689478143.0,6689478143.0,0.0,0.0,4.34,2.82
71,603030,全筑股份,2.64,10.0,0.24,390080.0,101558546.0,5.83,2.64,2.5,2.51,2.4,1.54,2.96,-45.36,3.75,3476704493.0,3476704493.0,0.0,0.0,10.92,5.18
72,002965,祥鑫科技,53.91,10.0,4.9,183820.0,945451932.67,9.81,53.91,49.1,49.94,49.01,1.31,11.98,32.03,2.57,11005119366.0,8269860741.0,0.0,0.0,25.08,57.49
73,603900,莱绅通灵,6.71,10.0,0.61,202975.0,134967070.0,5.08,6.71,6.4,6.4,6.1,0.74,5.94,20.31,1.19,2301689966.0,2291524316.0,0.0,0.0,26.37,21.34
74,603893,瑞芯微,170.47,10.0,15.5,165956.0,2736712931.0,10.22,170.47,154.63,155.8,154.97,2.2,3.96,85.22,18.98,71410513739.0,71375141214.0,0.0,0.0,3.63,55.24
75,605588,冠石科技,46.96,10.0,4.27,39144.0,179056180.0,7.75,46.96,43.65,43.65,42.69,1.32,5.35,-92.13,3.34,3450742943.0,3432755385.0,0.0,0.0,13.7,15.21
76,001316,润贝航科,39.05,10.0,3.55,36605.0,140964580.61,6.34,39.05,36.8,36.87,35.5,0.46,13.45,23.65,2.63,3220063000.0,1062443113.0,0.0,0.0,35.59,34.66
77,603322,超讯通信,32.23,10.0,2.93,114112.0,359183162.0,4.57,32.23,30.89,31.22,29.3,0.8,7.24,25.36,18.25,5079022435.0,5079022435.0,0.0,0.0,-11.58,-15.18
78,000158,常山北明,22.56,10.0,2.05,953216.0,2110392609.78,10.04,22.56,20.5,20.5,20.51,1.59,6.0,-90.38,6.84,36064793226.0,35820843734.0,0.0,0.0,26.81,12.02
79,600939,重庆建工,2.97,10.0,0.27,307643.0,89271168.0,10.0,2.97,2.7,2.71,2.7,0.78,1.62,-32.86,0.73,5648344364.0,5648344364.0,0.0,0.0,8.79,-1.33
80,002861,瀛通通讯,14.53,9.99,1.32,472681.0,679080162.77,4.92,14.53,13.88,14.53,13.21,2.51,31.48,-38.79,2.37,2706705968.0,2181946126.0,0.0,0.0,-12.52,3.12
81,605133,嵘泰股份,37.98,9.99,3.45,94646.0,348532860.0,10.8,37.98,34.25,34.5,34.53,1.1,5.12,42.83,2.31,8262303345.0,7023205238.0,0.0,0.0,49.41,61.41
82,605151,西上海,17.62,9.99,1.6,52988.0,90981743.0,9.05,17.62,16.17,16.28,16.02,2.81,3.94,-77.78,1.76,2383575454.0,2370845392.0,0.0,0.0,9.85,10.06
83,603359,东珠生态,7.6,9.99,0.69,432056.0,321871879.0,11.43,7.6,6.81,6.85,6.91,0.63,9.69,-2146.53,1.27,3390329600.0,3390329600.0,0.0,0.0,68.51,37.43
84,002933,新兴装备,34.34,9.99,3.12,122677.0,413427213.0,6.05,34.34,32.45,32.97,31.22,4.24,10.75,95.08,2.66,4029799000.0,3917251264.0,0.0,0.0,10.77,15.12
85,603185,弘元绿能,14.2,9.99,1.29,143851.0,199456923.0,8.29,14.2,13.13,13.25,12.91,3.42,2.12,-38.96,0.82,9642115268.0,9642115268.0,0.0,0.0,-7.97,-12.62
86,002189,中光学,19.26,9.99,1.75,116777.0,219182258.15,8.79,19.26,17.72,17.99,17.51,3.77,4.47,-18.47,7.77,5030697998.0,5029940078.0,0.0,0.0,7.84,-6.41
87,002422,科伦药业,36.21,9.99,3.29,419848.0,1445712888.97,13.37,36.21,31.81,31.94,32.92,2.36,3.22,24.76,2.51,57865512600.0,47285723973.0,0.0,0.0,28.72,20.98
88,603883,老百姓,20.15,9.99,1.83,599427.0,1177941200.0,10.53,20.15,18.22,18.3,18.32,3.0,7.9,15.28,2.24,15315926602.0,15291638255.0,0.0,0.0,27.37,23.09
89,603040,新坐标,34.69,9.99,3.15,129586.0,437775432.0,6.94,34.69,32.5,32.5,31.54,2.38,9.59,17.72,3.31,4735805812.0,4685349207.0,0.0,0.0,44.0,52.02
90,002553,南方精工,21.79,9.99,1.98,800720.0,1693442331.66,6.97,21.79,20.41,20.65,19.81,1.34,31.93,20.72,6.19,7582920000.0,5464932000.0,0.0,0.0,54.21,69.44
91,002546,新联电子,4.96,9.98,0.45,538840.0,261117085.78,5.54,4.96,4.71,4.75,4.51,3.78,6.73,9.64,1.21,4136883516.0,3974111196.0,0.0,0.0,6.9,14.55
92,002581,未名医药,6.61,9.98,0.6,429470.0,269794527.21,15.31,6.61,5.69,5.69,6.01,5.96,10.72,-29.58,2.31,4360852223.0,2649229574.0,0.0,0.0,-33.97,-37.88
93,002915,中欣氟材,21.37,9.98,1.94,809442.0,1693430432.58,7.05,21.37,20.0,21.37,19.43,1.23,28.08,558.12,5.34,6955259174.0,6161107234.0,0.0,0.0,62.39,67.21
94,603166,福达股份,16.43,9.97,1.49,369224.0,583067190.0,9.71,16.43,14.98,15.06,14.94,1.13,5.78,40.77,4.32,10617208136.0,10498912136.0,0.0,0.0,86.7,126.0
95,002201,九鼎新材,6.51,9.97,0.59,205719.0,132929662.75,4.9,6.51,6.22,6.36,5.92,0.32,3.43,64.52,3.81,4242151929.0,3907156710.0,0.0,0.0,29.17,25.43
96,002229,鸿博股份,15.88,9.97,1.44,1127043.0,1745728040.74,6.79,15.88,14.9,15.71,14.44,3.99,22.85,23.29,5.89,7879520829.0,7831449100.0,0.0,0.0,47.45,32.44
97,002006,精工科技,17.2,9.97,1.56,263045.0,441517147.34,9.97,17.2,15.64,15.64,15.64,2.67,5.78,51.43,3.77,8940447168.0,7828752000.0,0.0,0.0,9.0,4.24
98,688655,迅捷兴,15.0,9.89,1.35,100577.0,146459414.0,10.99,15.2,13.7,13.73,13.65,1.87,7.54,-103.04,2.95,2000850000.0,2000850000.0,-0.53,-0.2,36.49,39.15
99,600337,美克家居,1.9,9.83,0.17,240326.0,45547569.0,2.31,1.9,1.86,1.86,1.73,1.28,1.67,6.48,0.96,2730296460.0,2730296460.0,0.0,0.0,18.75,3.26
100,872190,雷神科技,32.98,9.75,2.93,91433.0,292868065.84,6.76,33.0,30.97,31.42,30.05,2.26,9.27,86.84,3.82,3298000033.0,3254303182.0,-0.06,0.06,13.72,13.26
101,688011,新光光电,17.52,9.5,1.52,30987.0,53035126.0,14.31,18.2,15.91,16.26,16.0,3.92,3.1,-36.53,1.62,1752000000.0,1752000000.0,-0.45,-0.57,16.41,14.36
102,836149,旭杰科技,13.05,9.39,1.12,37953.0,48422525.3,8.47,13.18,12.17,12.18,11.93,1.77,8.49,27.53,5.8,978953580.0,583282761.0,0.0,0.15,20.28,13.38
103,300225,金力泰,4.22,9.33,0.36,1183302.0,477079230.36,34.2,4.5,3.18,3.18,3.86,1.67,24.95,64.91,2.35,2006312870.0,2001755270.0,0.0,6.57,-40.23,-34.67
104,688787,海天瑞声,97.78,9.3,8.32,44875.0,429304164.0,11.12,99.45,89.5,90.0,89.46,1.9,7.44,3968.1,7.92,5898596100.0,5898596100.0,-0.09,-0.22,-27.02,-0.75
105,834475,三友科技,17.31,9.28,1.47,22278.0,37287555.89,8.96,17.36,15.94,15.94,15.84,1.35,5.3,-77.58,4.94,1781115912.0,727883077.0,-0.17,0.06,0.93,7.38
106,688290,景业智能,49.73,9.27,4.22,39023.0,189979374.0,10.85,50.5,45.56,45.94,45.51,1.4,3.82,-128.29,3.99,5081894477.0,5081894477.0,0.0,-0.42,3.6,13.75
107,301101,明月镜片,51.95,9.23,4.39,139473.0,702886120.28,10.7,53.3,48.21,49.26,47.56,3.37,7.31,55.51,6.1,10468553595.0,9918130358.0,-0.02,0.19,26.09,21.15
108,688220,翱捷科技-U,96.09,9.21,8.1,101308.0,953071336.0,10.61,97.29,87.95,88.68,87.99,1.44,2.81,-82.21,7.17,40194532424.0,34631619902.0,-0.11,-0.18,38.22,77.65
109,870976,视声智能,28.1,9.13,2.35,57970.0,159062298.34,9.51,28.3,25.85,25.85,25.75,1.96,13.6,32.73,7.02,1993790540.0,1197824320.0,0.0,0.64,21.17,48.99
110,300622,博士眼镜,42.72,8.98,3.52,207129.0,862660492.76,6.91,43.0,40.29,41.6,39.2,3.45,17.4,62.02,9.47,7485920908.0,5084107755.0,0.0,0.09,-10.08,-14.03
111,301005,超捷股份,32.62,8.95,2.68,124057.0,397261853.85,10.55,33.66,30.5,30.88,29.94,2.54,9.37,68.79,5.76,4399196776.0,4317967659.0,0.03,0.03,18.23,11.52
112,002315,焦点科技,42.3,8.94,3.47,233942.0,989317312.44,4.53,42.71,40.95,41.03,38.83,2.83,11.58,29.96,5.52,13419077259.0,8546000807.0,-0.12,-0.31,-15.95,2.84
113,300047,天源迪科,13.6,8.89,1.11,954587.0,1300362747.36,11.45,14.15,12.72,12.72,12.49,3.19,17.37,164.12,2.65,8673327539.0,7476178590.0,0.0,0.29,9.32,15.84
114,831641,格利尔,14.65,8.84,1.19,34738.0,49931135.11,6.91,14.95,14.02,14.06,13.46,3.37,7.78,71.41,3.21,1132664750.0,654230104.0,-0.2,0.83,23.84,20.18
115,301085,亚康股份,61.33,8.8,4.96,76260.0,462311574.31,9.69,63.96,58.5,58.57,56.37,2.89,12.94,77.73,4.85,5321952148.0,3613057137.0,0.16,0.08,-5.86,-10.56
116,603983,丸美生物,47.4,8.72,3.8,95548.0,438250800.0,8.74,47.51,43.7,44.0,43.6,2.2,2.38,35.19,5.41,19007400000.0,19007400000.0,1.5,1.72,43.68,46.93
117,603809,豪能股份,14.59,8.72,1.17,818204.0,1176018635.0,8.35,14.76,13.64,13.73,13.42,2.47,9.82,29.22,4.1,12161649942.0,12161649942.0,0.0,0.27,29.46,65.98
118,688049,炬芯科技,54.7,8.62,4.34,152712.0,823216681.0,11.72,56.48,50.58,50.58,50.36,2.67,13.6,48.21,4.16,7993661299.0,6141064195.0,0.02,0.24,20.86,21.91
119,836547,无锡晶海,22.35,8.5,1.75,37062.0,81779345.21,6.02,22.54,21.3,21.4,20.6,1.5,10.41,22.69,2.55,1736326800.0,795749400.0,0.22,0.04,43.36,42.9
120,831856,浩淼科技,25.84,8.48,2.02,72542.0,182111884.57,7.98,25.88,23.98,24.0,23.82,1.12,15.18,61.95,4.75,2234610978.0,1234660962.0,0.04,0.51,159.18,207.99
121,688369,致远互联,30.03,8.41,2.33,54632.0,163121933.0,9.89,30.6,27.86,27.86,27.7,1.07,4.74,-12.91,3.52,3459998672.0,3459998672.0,0.07,0.0,27.03,49.63
122,300364,中文在线,21.72,8.38,1.68,591355.0,1256141086.05,9.38,21.98,20.1,20.2,20.04,3.24,8.95,-44.98,17.58,15823022563.0,14344441274.0,0.0,0.28,-11.17,-11.46
123,688031,星环科技-U,51.78,8.33,3.98,46196.0,233336440.0,9.52,52.24,47.69,48.6,47.8,1.49,4.92,-18.76,6.1,6272086338.0,4865566936.0,0.0,0.17,11.12,12.25
124,688687,凯因科技,26.61,8.3,2.04,125327.0,327839068.0,11.19,27.2,24.45,24.57,24.57,2.19,7.33,44.3,2.43,4548831069.0,4548831069.0,-0.37,-0.41,17.48,23.31
125,688090,瑞松科技,41.65,8.29,3.19,40804.0,168190014.0,9.98,42.6,38.76,39.47,38.46,2.41,4.33,466.31,4.35,3923200050.0,3923200050.0,0.0,-0.02,11.42,17.26
126,300358,楚天科技,7.46,8.27,0.57,286564.0,209644079.17,9.72,7.55,6.88,6.88,6.89,3.65,4.97,-128.66,1.05,4403673331.0,4298350939.0,0.0,0.0,14.24,8.75
127,835207,众诚科技,23.68,8.23,1.8,42189.0,97270890.67,11.11,23.68,21.25,21.86,21.88,1.17,7.49,-85.25,7.66,2225801600.0,1333526602.0,0.13,0.13,44.83,32.44
128,300940,南极光,16.45,8.22,1.25,108872.0,176521305.8,8.22,16.55,15.3,15.31,15.2,2.32,7.38,30.8,3.3,3662499919.0,2425512247.0,0.37,0.55,11.9,21.85
129,873001,纬达光电,20.71,8.2,1.57,52142.0,107402830.67,6.43,21.25,20.02,20.43,19.14,1.78,5.88,130.43,4.13,3182219985.0,1836791024.0,-0.1,0.0,29.36,23.49
130,688287,*ST观典,4.1,8.18,0.31,101400.0,40341293.0,10.03,4.13,3.75,3.75,3.79,2.46,2.74,-22.97,1.85,1519113960.0,1519113960.0,0.0,0.0,-24.77,-25.18
131,605088,冠盛股份,37.18,8.14,2.8,99519.0,360387235.0,8.29,37.61,34.76,34.76,34.38,1.42,5.59,20.27,2.73,6809804178.0,6617211778.0,0.0,0.08,38.99,48.25
132,603931,格林达,31.2,8.11,2.34,76661.0,234874575.0,10.22,31.75,28.8,29.21,28.86,1.98,3.84,48.91,3.9,6226221456.0,6226221456.0,0.06,0.78,37.08,34.54
133,688403,汇成股份,9.52,8.06,0.71,378340.0,360152283.0,10.22,9.78,8.88,8.88,8.81,3.68,6.53,49.14,2.48,7977588469.0,5511801626.0,-0.1,-0.31,12.13,6.25
134,300904,威力传动,56.36,8.01,4.18,23073.0,128473884.2,9.87,57.33,52.18,52.18,52.18,2.15,10.5,-58.13,5.54,4079518956.0,1238974956.0,0.0,-0.18,12.45,-6.33
135,688003,天准科技,53.12,7.99,3.93,119091.0,618903354.0,7.36,54.14,50.52,50.63,49.19,1.9,6.15,-79.6,5.38,10283766400.0,10283766400.0,-0.3,-0.64,31.81,22.68
136,600336,澳柯玛,6.63,7.98,0.49,425704.0,282331115.0,6.35,6.75,6.36,6.41,6.14,3.45,5.33,31.98,2.13,5290837918.0,5290837918.0,-0.15,0.0,4.74,-1.92
137,688084,晶品特装,64.1,7.91,4.7,16379.0,103421715.0,8.75,64.6,59.4,59.4,59.4,2.1,4.44,-339.09,3.11,4849746131.0,2362036925.0,-0.08,0.06,28.2,13.85
